Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value
Phil Bledsoe,1.4163723,0.50233996,0.26449674,0.12276138,3.2832663,6.8981977
Bol Bol,4.9083114,1.0534116,0.5444614,0.8072398,9.349454,20.87465
Marques Bolden,2.4213762,0.5288192,0.42501965,0.4931901,3.7457173,10.199227
Jordan Bone,1.438496,1.6185116,0.41129932,0.12254063,3.7449758,9.500458
Ky Bowman,2.2535136,1.7571293,0.49095398,0.12275085,5.6648803,12.845906
DaQuan Bracey,1.4170239,2.0809383,0.43975052,0.12234669,3.4825697,9.990697
Keith Braxton,2.513936,1.7140667,0.535664,0.12306243,3.8770008,11.441004
Ignas Brazdeikis,2.7095556,0.64204854,0.43783185,0.28635928,6.7578998,13.145013
Oshae Brissett,2.612209,0.51687354,0.39107797,0.26168174,4.9417844,10.810025
Armoni Brooks,1.4174383,0.5083302,0.32633916,0.12268299,3.2975252,7.1080136
Nico Carvacho,3.489622,0.57583016,0.34071973,0.28823936,3.3931057,10.331275
Yoeli Childs,3.445123,0.8552673,0.36835793,0.39043438,5.3387527,13.032178
Nicolas Claxton,2.66556,0.54138714,0.38475788,0.5249321,4.1529474,10.892771
Amir Coffey,1.8391547,1.4999288,0.41963848,0.12279125,5.5856376,11.669806
Tyler Cook,3.1842456,0.89614403,0.3811771,0.29281557,5.8471594,13.034449
Jarrett Culver,2.6912806,1.5625126,0.5978481,0.25101224,6.729135,14.849022
Jarron Cumberland,1.424424,1.1800591,0.404693,0.12261355,4.294852,9.35617
Caleb Daniels,1.5557672,1.050392,0.30920145,0.14124243,4.1675777,8.961418
Javin DeLaurier,3.5323975,1.0437245,0.6678295,0.5698551,5.198884,14.716402
Mamadi Diakite,2.2794964,0.5121031,0.39176968,0.41866434,3.7932687,9.728121
Alpha Diallo,2.2402654,0.8834441,0.48513526,0.15730533,4.631381,10.572187
James Dickey,2.5766852,0.52572006,0.33659706,0.4614011,3.2860844,9.560681
David DiLeo,1.4173628,0.51274747,0.2706138,0.12245918,3.2872941,6.93647
Davon Dillard,2.0728152,0.63198453,0.48906478,0.26583248,4.4816785,10.181726
Luguentz Dort,1.8853734,1.5265945,0.5830194,0.1540478,7.122884,13.886425
Devon Dotson,2.6431055,2.0856388,0.71130466,0.23727259,7.006917,16.152834
Aljami Durham,1.4172418,0.551495,0.30840948,0.12281368,3.3066492,7.1282516
Carsen Edwards,1.4806684,1.2957747,0.4566456,0.12245165,6.50571,11.963467
CJ Elleby,2.4960077,1.4042836,0.43570462,0.2329907,5.106127,12.213846
Bruno Fernando,4.4242215,0.8431509,0.44768587,0.62287676,6.019136,15.804616
Jaylen Fisher,1.4233639,1.8284461,0.50150317,0.12261355,4.4365582,10.759614
Savion Flagg,2.6114037,0.55865085,0.38216332,0.23656341,4.453142,10.280983
Darius Garland,2.882074,1.9573843,0.5653359,0.3100917,8.078552,17.0994
Eugene German,1.4815724,1.1285782,0.34465882,0.12252548,5.314313,10.18662
Quentin Goodin,1.4173552,1.5690415,0.42743713,0.12254213,3.299329,9.003655
Kellan Grady,1.8670018,1.1302147,0.42216936,0.12277636,6.210024,11.780585
Devonte Green,1.4168763,0.7907496,0.4287594,0.12270755,3.2991655,7.8399425
Quentin Grimes,1.5071169,0.7119109,0.3727368,0.13832024,4.1939516,8.60353
Kyle Guy,1.4175313,0.5618626,0.3201221,0.12238909,4.0130267,7.884392
Rui Hachimura,2.4791613,0.81062233,0.42535028,0.28183985,5.4187865,11.731283
Jaylen Hands,1.5568595,2.0065475,0.5366999,0.12274099,4.617905,11.47428
Jerrick Harding,1.4174583,1.1321948,0.40847194,0.12254575,5.424329,10.416625
Kevon Harris,1.5023761,0.84215856,0.32144395,0.12276787,3.6490319,8.047756
Tyler Herro,2.6170247,1.4817315,0.6075999,0.2535921,6.8274307,14.774034
Jaylen Hoard,3.4474652,0.5562626,0.38388395,0.39062724,5.977561,13.272447
Talen Horton-Tucker,2.2220435,1.2989312,0.60894555,0.26514047,5.7904587,13.027566
Ty Jerome,1.4961445,1.6093359,0.5566684,0.12252063,3.9567666,10.203711
Keldon Johnson,2.79114,0.9351829,0.46645167,0.24165587,6.2141547,13.09062
Markell Johnson,1.510155,2.0873156,0.58350056,0.12274336,3.9153273,10.977218
Mfiondu Kabengele,2.7761126,0.5236773,0.40866354,0.46566156,5.545577,12.285403
Sacha Killeya-Jones,2.3927138,0.5543653,0.43940642,0.4436093,4.0640893,10.41594
Louis King,2.2212074,0.67868537,0.43569043,0.18902524,5.4123197,10.969944
Nathan Knight,3.1194234,1.325552,0.35096475,0.49028298,5.668728,13.924108
Sagaba Konate,2.785293,0.5090772,0.36133915,0.618828,4.135935,11.182404
Martin Krampelj,3.2631247,0.8672932,0.5220139,0.36729,5.541016,13.425617
Romeo Langford,3.0219903,1.3366218,0.47480026,0.36993727,7.792563,15.958096
Jacob Ledoux,1.4165697,0.8250977,0.40471813,0.122704774,3.292485,7.812284
Nassir Little,2.8013194,0.5605019,0.46770674,0.38394108,6.0777946,12.835073
Trevor Manuel,1.4216529,0.6363496,0.395086,0.30455834,3.317619,8.07706
Jermaine Marrow,1.4165945,1.9584868,0.30017725,0.122001305,4.375421,10.279601
Naji Marshall,2.4609828,1.1548471,0.4676142,0.21205,5.029645,11.754088
Skylar Mays,1.5076848,1.5084119,0.6335127,0.12267429,4.8053775,11.145779
Jalen McDaniels,3.1528423,0.7958084,0.48468265,0.29541004,5.20568,12.523082
Davion Mintz,1.417048,0.9803651,0.3674931,0.12249059,3.2945356,7.9354916
Andrew Nembhard,1.7798898,2.308617,0.62857234,0.14706448,4.151246,12.076951
Kouat Noi,2.2780812,0.62661374,0.5033084,0.20433877,5.8407545,11.637313
Jaylen Nowell,2.2569523,1.4432868,0.5067171,0.15195787,6.2153764,13.064674
Joel Ntambwe,1.549813,0.51489973,0.26724288,0.15074828,3.7668514,7.65295
Jordan Nwora,2.325535,0.666225,0.46456507,0.20793875,5.705469,11.5129595
Chuma Okeke,2.9631572,0.79754674,0.63213044,0.3897358,5.2182503,13.035958
Miye Oni,1.6412982,1.43788,0.340623,0.15467215,3.895329,9.507591
Devonte Patterson,1.7186635,1.120389,0.49856642,0.16678667,4.753697,10.492737
Lamar Peters,1.4169067,1.8757201,0.5351671,0.12237956,3.9320939,10.418602
Filip Petrusev,2.2286205,0.84069866,0.46426615,0.3679276,5.046236,11.47821
Jalen Pickett,1.6700313,3.3124783,0.77277833,0.19125319,5.090474,14.955324
Shamorie Ponds,2.1144855,2.4614847,0.8399127,0.12273134,8.236223,17.353764
Jordan Poole,1.4873122,0.84791005,0.47160286,0.13728078,4.6972632,9.580554
